2009-2010 Fall Enrollment by Home Primary Language by District,,,,,,,,,,,
Source: MARSS Fall FY10,,,,,,,,,,,
,,,,,,,,,,,
fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,startaName
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,KAMBA/KIKUYA/LUO                         ,088,7,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,LINGALA                       ,067,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,IBO                           ,065,65,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,BEMBA/TONGA/NYANJA                         ,098,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,LUGANDA                       ,095,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,SWEDISH                       ,046,4,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,CAMBODIAN                     ,005,33,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,CZECH                         ,004,4,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ROMANIAN                      ,039,52,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,HINDI                         ,019,45,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,SWAHILI                       ,070,143,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,PAMPA/SARAMO/ITONAMA/AYMARA/ARAUCANIAN/PALENQUE/ARAWAK ,079,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,SERBO-CROATIAN                ,041,92,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,AFRIKAANS                     ,001,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,JAPANESE                      ,024,9,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ALBANIAN                      ,072,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,SOMALI                        ,069,102,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,THAI                          ,047,12,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,VIETNAMESE                    ,051,371,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,SIGN LANGUAGE                 ,042,17,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,HMONG                         ,020,1172,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,SPANISH                       ,045,952,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,BULGARIAN                     ,064,8,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
