submissionCode,fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,strataName
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Hindi ,019,29,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Spanish,045,1289,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Krio,149,9,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Yoruba,075,61,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Portuguese,038,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Loma,290,7,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Harari,137,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Tamil,118,7,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Dinka,220,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Fulah,066,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Arabic,002,407,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,German,017,16,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,English,011,31887,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Ebira,225,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Banda,190,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
