Fiscal Year,District Number,District Type,District Name,Language Name,Home Primary Language,Enrollments,County Code,County Name,Economic Development Region,Strata,Strata Name
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Kabyle ,078,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,German,017,15,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Farsi ,013,15,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Tibetan,073,13,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Wolof,094,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Arabic,002,262,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Mandingo,302,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Dan,147,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,"Oromo, Afan Oromo, Oromiffa ",074,165,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Danish,009,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,"Indonesian, Bahasa Indonesian",032,8,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
