2019-20 Primary Home Language Totals,,,,,,,,,,,,
Submission Code,Fiscal Year,District Number,District Type,District Name,Language Name,Home Primary Language,Enrollments,County Code,County Name,Economic Development Region,Strata,Strata Name
F,19-20,0011,01,Anoka-Hennepin Public School District,Loma,290,7,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Sotho,165,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Estonian,012,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Somali,069,396,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Bassa,146,10,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Maay,100,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Telugu,119,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Spanish,045,1440,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Japanese,024,7,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Bambara,091,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,"Filipino, Pilipino",126,27,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Nyanga ,167,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Vietnamese,051,490,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Bantu,101,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Bosnian,041,76,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Kabyle ,078,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Ga,160,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Wali,391,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Kalenjin,260,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Chamor,084,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Bicolano,197,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Marathi,116,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Cherokee,207,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Balinese,086,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Ilocano,125,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Ganda,095,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
