sub_cde,dat_yer,dst_num,dst_tye,district,language,homprm_lng,k12count,d_county,county,eco_dev,stratanum,strata
F,06-07,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,AFRIKAANS,001,3,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,AMHARIC,063,27,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,ARABIC,002,44,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,BALINESE,086,1,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,CAMBODIAN,005,2,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,CEBUANO,036,2,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,CHINESE,007,7,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,CUTCHI,010,1,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,DAKOTAH,008,1,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,ENGLISH,011,1974,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
